Price,Adj Close,Close,High,Low,Open,Volume
Ticker,KLBF.JK,KLBF.JK,KLBF.JK,KLBF.JK,KLBF.JK,KLBF.JK
Date,,,,,,
2019-01-01,1353.745849609375,1520.0,1520.0,1520.0,1520.0,0
2019-01-02,1358.198974609375,1525.0,1530.0,1500.0,1525.0,5035800
2019-01-03,1371.558349609375,1540.0,1545.0,1505.0,1535.0,15603900
2019-01-04,1398.2769775390625,1570.0,1575.0,1520.0,1535.0,19765600
2019-01-07,1420.54248046875,1595.0,1610.0,1580.0,1580.0,28281300
2019-01-08,1393.8238525390625,1565.0,1595.0,1540.0,1595.0,16847400
2019-01-09,1371.558349609375,1540.0,1590.0,1540.0,1585.0,9920400
2019-01-10,1424.99560546875,1600.0,1600.0,1545.0,1550.0,32039200
2019-01-11,1442.8079833984375,1620.0,1630.0,1560.0,1610.0,25318000
2019-01-14,1438.3548583984375,1615.0,1625.0,1595.0,1605.0,25662800
2019-01-15,1456.1673583984375,1635.0,1635.0,1610.0,1615.0,14905500
2019-01-16,1447.2611083984375,1625.0,1630.0,1600.0,1625.0,20240700
2019-01-17,1433.90185546875,1610.0,1630.0,1595.0,1630.0,18529300
2019-01-18,1438.3548583984375,1615.0,1625.0,1590.0,1625.0,18565100
2019-01-21,1429.4486083984375,1605.0,1620.0,1605.0,1620.0,8777600
2019-01-22,1438.3548583984375,1615.0,1615.0,1595.0,1615.0,16694600
2019-01-23,1424.99560546875,1600.0,1610.0,1595.0,1595.0,13179200
2019-01-24,1424.99560546875,1600.0,1615.0,1600.0,1615.0,16844100
2019-01-25,1438.3548583984375,1615.0,1620.0,1595.0,1610.0,22451600
2019-01-28,1433.90185546875,1610.0,1625.0,1595.0,1615.0,34907300
2019-01-29,1433.90185546875,1610.0,1610.0,1595.0,1610.0,13322900
2019-01-30,1433.90185546875,1610.0,1610.0,1595.0,1595.0,23609500
2019-01-31,1424.99560546875,1600.0,1615.0,1600.0,1615.0,36542300
2019-02-01,1438.3548583984375,1615.0,1615.0,1595.0,1600.0,25854900
2019-02-04,1429.4486083984375,1605.0,1615.0,1600.0,1605.0,25455800
2019-02-05,1429.4486083984375,1605.0,1605.0,1605.0,1605.0,0
2019-02-06,1420.54248046875,1595.0,1610.0,1590.0,1600.0,33819200
2019-02-07,1433.90185546875,1610.0,1610.0,1600.0,1600.0,24717700
2019-02-08,1420.54248046875,1595.0,1600.0,1590.0,1600.0,12267000
2019-02-11,1420.54248046875,1595.0,1605.0,1590.0,1595.0,9189800
2019-02-12,1398.2769775390625,1570.0,1600.0,1570.0,1590.0,21731100
2019-02-13,1398.2769775390625,1570.0,1590.0,1560.0,1570.0,11236800
